Województwa,Ogółem,Mężczyźni,Kobiety
Ogółem,"2320,0","1148,2","1171,8"
Dolnośląskie,"215,0","105,0","110,0"
Kujawsko-pomorskie,"122,9","63,0","59,9"
Lubelskie,"128,7","62,8","66,0"
Lubuskie,"71,5","34,9","36,6"
Łódzkie,"85,3","42,7","42,6"
Małopolskie,"213,2","105,6","107,6"
Mazowieckie,"165,3","80,7","84,6"
Opolskie,"128,1","62,3","65,8"
Podkarpackie,"203,5","101,2","102,3"
Podlaskie,"125,4","61,7","63,7"
Pomorskie,"153,6","76,1","77,5"
Śląskie,"263,9","128,7","135,2"
Świętokrzyskie,"72,6","36,1","36,5"
Warmińsko-mazurskie,"123,7","62,0","61,7"
Wielkopolskie,"123,6","62,3","61,3"
Zachodniopomorskie,"123,7","63,2","60,5"
