Województwa,Ogółem,Mężczyźni,Kobiety
Ogółem,"2515,0","1249,8","1265,2"
Dolnośląskie,"235,7","115,5","120,2"
Kujawsko-pomorskie,"133,2","68,6","64,6"
Lubelskie,"139,3","68,2","71,1"
Lubuskie,"78,0","38,4","39,6"
Łódzkie,"92,8","46,7","46,2"
Małopolskie,"230,3","114,5","115,8"
Mazowieckie,"177,2","86,7","90,5"
Opolskie,"140,6","68,5","72,1"
Podkarpackie,"219,8","109,8","110,1"
Podlaskie,"135,5","66,8","68,6"
Pomorskie,"166,6","82,9","83,7"
Śląskie,"285,6","140,1","145,5"
Świętokrzyskie,"78,2","39,0","39,2"
Warmińsko-mazurskie,"133,8","67,3","66,6"
Wielkopolskie,"134,1","67,9","66,3"
Zachodniopomorskie,"134,2","69,0","65,2"
