age,all,men,woman
all,"2415,0","1204,1","1210,9"
0-4,"67,4","35,3","32,0"
5-9,"76,7","40,2","36,5"
10-14,"95,5","49,3","46,2"
15-19,"84,8","43,3","41,6"
20-24,"129,7","64,7","65,0"
25-29,"210,5","104,7","105,9"
30-34,"300,6","147,6","153,1"
35-39,"361,2","179,0","182,2"
40-44,"279,9","144,2","135,7"
45-49,"197,2","101,8","95,4"
50-54,"167,1","84,7","82,4"
55-59,"156,1","78,5","77,6"
60-64,"123,1","60,5","62,5"
65-69,"71,3","33,8","37,5"
70-74,"36,2","16,0","20,2"
75+,"57,7","20,5","37,2"
